locale	Language name	Decimal period or comma?	multiplication	Division	Thousand separator	Repeating decimals	Abbreviation for trigonometric functions	Coordinates	Open interval (a,b)	Closed interval [a,b]	angle	angle measurement	line	segment	ray	Number line arrow(s), graph axes, <---> or ---> only	Right angle	You can skip the rest of the columns for now		LCM	GCD	long division format	Multi-digit  multiplication format	derivative	Logarithm notation	multiplication		Way to express quotation	Capitalization Conventions	Title Capitalization?	enumeration	dollar 	Mixed numbers
th	Thai	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	÷ in primary school or  / in middle school and higher	1,000,000,000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5.5, 3.5)	(a,b)	[a,b]	\angle{ABC}, ∠ABC	m\angle{ABC}, m∠ABC=60°	\overleftrightarrow{AB}	\overline{AC}	\overrightarrow{AB}	<--->	small square																
tr	Turkish	comma, e.g., 3,14	"x" or period (e.g. 5 x 6 or 5.6)	c÷b	1.000.000.000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, cosec, sec	(5,5 , 3,5)	(a, b)	[a, b]	Â	m∠ABC=60°	AB	[AB]	[AB	<--->	small square			EKOK	EBOB				log, ln	"x" or period (e.g. 5 x 6 or 5.6)		" "	Capital: Names, like Jake or Natalie, or Warsaw, New York. Nationalities (nouns), like Spaniard, American, German		a, b, c ve d	8 ₺ or 8 TL	
uk	Ukranian	period (e.g. 3.14159)	"x" for lower grades (e.g. 5 x 6), dot for more advanced math (5 ⋅ 6)	\mathbin{:}	1 000 000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, cosec, sec	(5.5, 3.5)	(a,b)	[a,b]	\angle{ABC}, ∠ABC	m\angle{ABC}, m∠ABC=60°	AB	\\overline{AB}	no special notation	<--->	small square			НСК	НСД			f'(x) and  \\dfrac{df}{dx}	log (we use latin names for the functions)	(5)(6)		" "		No. Same as any other sentence.	a, b, c, d a, б, в, г		5\\dfrac{5}{3}
ur	Urdu	period (e.g. 3.14159)			1,000,000,000																												
uz	Uzbek	comma, e.g., 3,14	5 ⋅ 6 (for all classes)	c÷b	1 000 000 000	0,(3)  1,(12) 7,18(39)	sin, cos, tg, ctg, csc, sec	(5,5; 3,5)	(a, b)	[a, b]	∠ABC, α, β, θ	∠ABC=60°	\overleftrightarrow{AB}	\overline{AC}	\overrightarrow{AB}	<--->	L with a small square in the corner			EKUK	EKUB			f'(x)	lg, ln	5 ⋅ 6 					a, b, c va d		
vi	Vietnamese	comma (e.g. 3,14159)	"x" for lower grades (primary school), dot for more advaced math (e.g. older than 5)	c÷b or c/b or c : b	1.000.000	1,(6) ; 0,(3)	sin, cos, tan, cot, csc or cosec, sec	(5,5 ; 3,5)	(a, b)	[a,b]	Â, ∠ABC, α, β, θ	\widehat {ABC} = 60°	AB or small letter	đoạn thẳng AB (written in a word, which means segment)	tia AB (written in a word, which means ray)	---> only	small square																
xh	Xhosa	period (e.g. 3.14159)			1,000,000,000																												
zh-hans	Chinese-Simplified	period, e.g. 3.16	5 x 6, 5a, a⋅b, ab (need to use "x" for two numbers	c÷b (\div)	1000000000	0.\overline{3} 1.\overline{12}	sin, cos, tan, cot, csc, sec	(5.5, 3.5)	(a, b)	[a,b]	∠ABC, α, β, θ	∠ABC=60°	AB	AB with line over it， 线段AB	射线AB or 射线BA, the first character is the start point	< ---- > 	small square			最小公倍数	最大公约数	divisor | \overline{divident}		f'(x) and df/dx	log, ln	5 ⋅ 6, 5 × 6, 5*6, (5)(6)		“ ”	N/A	N/A	a、b、c、d	￥，yuan	5\\dfrac{5}{3}
zh-hant	Chinese-Traditional																																
zu	Zulu	period (e.g. 3.14159)			1,000,000,000																												
																																	
																																	
																																	
																																	
																																	
				 																													
